text,tag1,tag2,tag3,tag4,tag5,token_usage
"The Adventures of Ferdinand Count Fathom, Smollett’s third novel, was given tothe world in 1753. Lady Mary Wortley Montagu, writing to her daughter, theCountess of Bute, over a year later [January 1st, 1755], remarked that “myfriend Smollett . . . has certainly a talent for invention, though I think itflags a little in his last work.” Lady Mary was both right and wrong. Theinventive power which we commonly think of as Smollett’s was the ability towork over his own experience into realistic fiction. Of this, Ferdinand CountFathom shows comparatively little. It shows relatively little, too, ofSmollett’s vigorous personality, which in his earlier works was present to givelife and interest to almost every chapter, were it to describe a street brawl,a ludicrous situation, a whimsical character, or with venomous prejudice togibbet some enemy. This individuality—the peculiar spirit of the authorwhich can be felt rather than described—is present in the dedication ofFathom to Doctor ———, who is no other than Smollett himself,and a candid revelation of his character, by the way, this dedication contains.It is present, too, in the opening chapters, which show, likewise, in thepicture of Fathom’s mother, something of the author’s peculiar “talent forinvention.” Subsequently, however, there is no denying that the Smollettinvention and the Smollett spirit both flag. And yet, in a way, Fathom displaysmore invention than any of the author’s novels; it is based far less than anyother on personal experience. Unfortunately such thorough-going invention wasnot suited to Smollett’s genius. The result is, that while uninteresting as anovel of contemporary manners, Fathom has an interest of its own in that itreveals a new side of its author. We think of Smollett, generally, as arambling storyteller, a rational, unromantic man of the world, who fills hispages with his own oddly-metamorphosed acquaintances and experiences.",critical,disappointed,introspective,analytical,intrigued,0.00102
"If he exhibited such a proof of sagacity in the twelfth year of his age, whatmight not be expected from his finesse in the maturity of his faculties andexperience? Thus secured in the good graces of the whole family, he saw thedays of his puerility glide along in the most agreeable elapse of caresses andamusement. He never fairly plunged into the stream of school-education, but, byfloating on the surface, imbibed a small tincture of those different scienceswhich his master pretended to teach. In short, he resembled those vagrantswallows that skim along the level of some pool or river, without venturing towet one feather in their wings, except in the accidental pursuit of aninconsiderable fly. Yet, though his capacity or inclination was unsuited forstudies of this kind, he did not fail to manifest a perfect genius in theacquisition of other more profitable arts. Over and above the accomplishmentsof address, for which he hath been already celebrated, he excelled all hisfellows in his dexterity at fives and billiards; was altogether unrivalled inhis skill at draughts and backgammon; began, even at these years, to understandthe moves and schemes of chess; and made himself a mere adept in the mystery ofcards, which he learned in the course of his assiduities and attention to thefemales of the house.",admiring,curious,playful,impressed,skillful,0.00102
"Having thus established himself her confidant and gossip, he knew his next stepof promotion would necessarily be to the degree of her lover; and in thatbelief resolved to play the same game with Mademoiselle Wilhelmina, whosecomplexion was very much akin to that of her stepmother; indeed they resembledeach other too much to live upon any terms of friendship or even decorum.Fathom, in order to enjoy a private conversation with the young lady, neverfailed to repeat his visit every afternoon, till at length he had the pleasureof finding her disengaged, the jeweller being occupied among his workmen, andhis wife gone to assist at a lying-in.Our adventurer and the daughter had already exchanged their vows, by theexpressive language of the eyes; he had even declared himself in some tenderejaculations which had been softly whispered in her ear, when he could snatchan opportunity of venting them unperceived; nay, he had upon divers occasionsgently squeezed her fair hand, on pretence of tuning her harpsichord, and beenfavoured with returns of the same cordial pressure; so that, instead ofaccosting her with the fearful hesitation and reserve of a timid swain, he toldher, after the exercise of the doux-yeux, that he was come to confer with herupon a subject that nearly concerned her peace; and asked if she had notobserved of late an evident abatement of friendship in her mother’s behaviourto him, whom she had formerly treated with such marks of favour and respect.Mademoiselle would not pay so ill a compliment to her own discernment as to sayshe had not perceived the alteration; which, on the contrary, she owned wasextremely palpable; nor was it difficult to divine the cause of such estrangedlooks.",manipulative,deceptive,infatuation,betrayal,vengeful,0.00109
"The messenger, doubly rejoiced at her achievement, which not only recommendedher ministry, but also gratified her malice, returned to her principal withgreat exultation, and, delivering the letter, the reader will easily conceivethe transports of that lady when she read the contents of it in thesewords:—“ANGELIC WILHELMINA!—To forget those ecstatic scenes we have enjoyedtogether, or even live without the continuation of that mutual bliss, were toquit all title to perception, and resign every hope of future happiness. No! mycharmer, while my head retains the least spark of invention, and my heart glowswith the resolution of a man, our correspondence shall not be cut off by themachinations of an envious stepmother, who never had attractions to inspire agenerous passion; and, now that age and wrinkles have destroyed what littleshare of beauty she once possessed, endeavours, like the fiend in paradise, toblast those joys in others, from which she is herself eternally excluded. Doubtnot, dear sovereign of my soul! that I will study, with all the eagerness ofdesiring love, how to frustrate her malicious intention, and renew thosetransporting moments, the remembrance of which now warms the breast of yourever constant FATHOM.”Had our hero murdered her father, or left her a disconsolate widow, byeffecting the death of her dear husband, there might have been a possibility ofher exerting the Christian virtues of resignation and forgiveness; but such apersonal outrage as that contained in this epistle precluded all hope ofpardon, and rendered penitence of no signification. His atrocious crime beingnow fully ascertained, this virago gave a loose to her resentment, which becameso loud and tempestuous, that her informer shuddered at the storm she hadraised, and began to repent of having communicated the intelligence whichseemed to have such a violent effect upon hex brain.",triumphant,vindictive,outrage,resentment,remorse,0.00109
"Fathom having reconnoitred this peculiarity of temper, instead of treating himwith that assiduous complaisance, which he received from the other gentlemen ofthe party, kept aloof from him in the conversation, with a remarkable shynessof distant civility, and seldom took notice of what he said, except with a viewto contradict him, or retort some of his satirical observations. This heconceived to be the best method of acquiring his good opinion; because theEnglishman would naturally conclude he was a person who could have no sinisterviews upon his fortune, else he would have chosen quite a different manner ofdeportment. Accordingly, the knight seemed to bite at the hook. He listened toFerdinand with uncommon regard; he was even heard to commend his remarks, andat length drank to their better acquaintance.The Italian and the abbe were the first who began to grow whimsical under theinfluence of the burgundy; and, in the heat of their elevation, proposed thatthe company should amuse themselves during the remaining part of the night, atthe house of an obliging dame, who maintained a troop of fair nymphs for theaccommodation of the other sex. The proposal was approved by all, except theHollander, whose economy the wine had not as yet invaded; and, while heretreated soberly to his own lodgings, the rest of the society adjourned in twocoaches to the temple of love, where they were received by the venerablepriestess, a personage turned of seventy, who seemed to exercise the functionsof her calling, in despite of the most cruel ravages of time; for age had benther into the form of a Turkish bow.",calculating,manipulative,suspicion,intoxication,debauchery,0.00105
"Heaven seemed to smile upon our union, by blessing us with a son, whom,however, it was pleased to recall in his infancy, to our unspeakable grief andmortification; but our mutual chagrin was afterwards alleviated by the birth ofa daughter, who seemed born with every accomplishment to excite the love andadmiration of mankind. Why did nature debase such a masterpiece with themixture of an alloy, which hath involved herself and her whole family inperdition? But the ways of Providence are unsearchable. She hath paid the debtof her degeneracy; peace be with her soul! The honour of my family isvindicated; though by a sacrifice which hath robbed me of everything else thatis valuable in life, and ruined my peace past all redemption. Yes, my friend,all the tortures that human tyranny can inflict would be ease, tranquillity,and delight, to the unspeakable pangs and horrors I have felt.But, to return from this digression.—Serafina, which was the name of thatlittle darling, as she grew up, not only disclosed all the natural graces ofexternal beauty, but likewise manifested the most engaging sweetness ofdisposition, and a capacity for acquiring with ease all the accomplishments ofher sex. It is impossible to convey any adequate idea of a parent’s raptures inthe contemplation of such a fair blossom. She was the only pledge of our love,she was presumptive heiress to a large fortune, and likely to be the solerepresentative of two noble Castilian families. She was the delight of all whosaw her, and a theme of praise for every tongue. You are not to suppose thatthe education of such a child was neglected. Indeed, it wholly engrossed theattention of me and my Antonia, and her proficiency rewarded our care. Beforeshe had attained the age of fifteen, she was mistress of every elegantqualification, natural and acquired.",grief,desolation,betrayal,pride,delight,0.00105
"Ferdinand, not a little pleased at their departure, renewed his most patheticexpressions of love, and sung several French songs on that tender subject,which seemed to thrill to the soul of his beauteous Helen. While the driverhalted at Dartford to water his horses, she was smit with the appearance ofsome cheesecakes, which were presented by the landlady of the house, and havingbargained for two or three, put her hand in her pocket, in order to pay for herpurchase; but what was her astonishment, when, after having rummaged herequipage, she understood her whole fortune was lost! This mishap was, by a loudshriek, announced to our hero, who affected infinite amazement and concern; andno sooner learned the cause of her affliction, than he presented her with hisown purse, from which he, in emphatic dumb show, begged she would indemnifyherself for the damage she had sustained. Although this kind proffer was somealleviation of her misfortunes, she did not fail to pour forth a most piteouslamentation, importing that she had not only lost all her money, amounting tofive pounds, but also her letter of recommendation, upon which she hadaltogether relied for present employment.The vehicle was minutely searched from top to bottom, by herself and ouradventurer, assisted by Maurice and the coachman, who, finding their inquiryineffectual, did not scruple to declare his suspicion of the two fat turtleswho had deserted the coach in such an abrupt manner. In a word, he renderedthis conjecture so plausible, by wresting the circumstances of their behaviourand retreat, that poor Elenor implicitly believed they were the thieves by whomshe had suffered; and was prevailed upon to accept the proffered assistance ofthe generous Count, who, seeing her very much disordered by this mischance,insisted upon her drinking a large glass of canary, to quiet the perturbationof her spirits.",pleased,tender,astonishment,affliction,piteous,0.00109
"Fathom, though possessed of the spoils of poor Celinda’s honour, did not enjoyhis success with tranquillity. Reflection and remorse often invaded her in themidst of their guilty pleasures, and embittered all those moments they haddedicated to mutual bliss. For the seeds of virtue are seldom destroyed atonce. Even amidst the rank productions of vice, they regerminate to a sort ofimperfect vegetation, like some scattered hyacinths shooting up among the weedsof a ruined garden, that testify the former culture and amenity of the soil.She sighed at the sad remembrance of that virgin dignity which she had lost;she wept at the prospect of that disgrace, mortification, and misery she shouldundergo, when abandoned by this transient lover, and severely reproached himfor the arts he had used to shipwreck her innocence and peace.Such expostulations are extremely unseasonable, when addressed to a manwell-nigh sated with the effects of his conquest. They act like strong blastsof wind applied to embers almost extinguished, which, instead of reviving theflame, scatter and destroy every remaining particle of fire. Our adventurer, inthe midst of his peculiarities, had inconstancy in common with the rest of hissex. More than half cloyed with the possession of Celinda, he could not fail tobe disgusted with her upbraidings; and had she not been the daughter of agentleman whose friendship he did not think it his interest to forfeit, hewould have dropped this correspondence, without reluctance or hesitation. But,as he had measures to keep with a family of such consequence, he constrainedhis inclinations, so far as to counterfeit those raptures he no longer felt,and found means to appease those intervening tumults of her grief.",remorse,bitterness,disgrace,mortification,reproach,0.00109
"By this time Ferdinand had seen every member of the club, except the Frenchchevalier, who seemed to be quite neglected by the society; for his name wasnot once mentioned during this communication, and they sat down to dinner,without asking whether he was dead or alive. The king regaled himself with aplate of ox-cheek; the major, who complained that his appetite had forsakenhim, amused himself with some forty hard eggs, malaxed with salt butter; theknight indulged upon his soup and bouilli, and the captain entertained ouradventurer with a neck of veal roasted with potatoes; but before Fathom couldmake use of his knife and fork, he was summoned to the door, where he found thechevalier in great agitation, his eyes sparkling like coals of fire.Our hero was not a little surprised at this apparition, who, having askedpardon for the freedom he had used, observed, that, understanding the Count wasa foreigner, he could not dispense with appealing to him concerning an outragehe had suffered from the keeper, who, without any regard to his rank ormisfortunes, had been base enough to refuse him credit for a few necessaries,until he could have a remittance from his steward in France; he thereforeconjured Count Fathom, as a stranger and nobleman like himself, to be themessenger of defiance, which he resolved to send to that brutal jailor, that,for the future, he might learn to make proper distinctions in the exercise ofhis function.",apathy,neglect,indignation,exasperation,confusion,0.00099
"Yet the exertion of these talents was not limited to her alone. While he laidthese trains for the hapless young lady, he was preparing snares of anotherkind for her unsuspecting lover, who, for the completion of his misery, aboutthis time began to perceive marks of disquiet and displeasure in thecountenance and deportment of his adored Monimia. For that young lady, in themidst of her grief, remembered her origin, and over her vexation affected tothrow a veil of tranquillity, which served only to give an air of disgust toher internal disturbance.Renaldo, whose patience and philosophy were barely sufficient to bear the loadof his other evils, would have been quite overwhelmed with the additionalburden of Monimia’s woe, if it had not assumed this appearance of disesteem,which, as he knew he had not deserved it, brought his resentment to hisassistance. Yet this was but a wretched cordial to support him against thebaleful reflections that assaulted him from every quarter; it operated likethose desperate remedies, which, while they stimulate exhausted nature, help todestroy the very fundamentals of the constitution. He reviewed his own conductwith the utmost severity, and could not recollect one circumstance which couldjustly offend the idol of his soul. The more blameless he appeared to himselfin this examination, the less excusable did her behaviour appear. He tasked hispenetration to discover the cause of this alteration; he burned with impatienceto know it; his discernment failed him, and he was afraid, though he knew notwhy, to demand an explanation. His thoughts were so circumstanced, that hedurst not even unbosom himself to Fathom, though his own virtue and friendshipresisted those sentiments that began to intrude upon his mind, with suggestionsto the prejudice of our adventurer’s fidelity.",anxiety,resentment,introspection,impatience,distrust,0.00099
